SE,FT,Machine Learning Engineer,150000,USD,150000,L
SE,FT,Data Scientist,180000,TRY,21843,L
SE,FT,AI Scientist,55000,USD,55000,L
EN,FT,Data Scientist,58000,USD,58000,L
EN,FT,Data Scientist,100000,USD,100000,M
SE,FT,Data Scientist,65720,EUR,78340,M
EN,FT,Machine Learning Engineer,85000,USD,85000,S
EN,FT,Data Science Consultant,65000,EUR,77481,L
SE,CT,Staff Data Scientist,105000,USD,105000,M
EN,FT,Data Analyst,72000,USD,72000,L
EN,FT,Data Engineer,55000,EUR,65561,M
MI,FT,Data Engineer,250000,TRY,30337,M
MI,FT,Data Engineer,111775,USD,111775,M
MI,FT,Data Engineer,93150,USD,93150,M
SE,FT,Lead Data Engineer,160000,USD,160000,S
MI,FT,Data Scientist,21600,EUR,25747,S
SE,FT,Machine Learning Engineer,4900000,INR,66442,L
MI,FT,Data Scientist,1250000,INR,16949,S
SE,FT,Data Analyst,54000,EUR,64369,L
SE,FT,Lead Data Scientist,190000,USD,190000,S
EX,FT,Director of Data Science,120000,EUR,143043,L
EN,FT,Big Data Engineer,1200000,INR,16271,L
SE,FT,Data Analyst,90000,CAD,71968,M
MI,FT,Data Scientist,11000000,HUF,35735,L
SE,FT,Data Scientist,135000,USD,135000,L
EN,FT,Machine Learning Engineer,21000,EUR,25032,M
SE,FT,Data Science Manager,4000000,INR,54238,L
SE,FT,Machine Learning Engineer,1799997,INR,24407,L
EN,FT,BI Data Analyst,9272,USD,9272,S
MI,FT,Data Scientist,147000,USD,147000,L
SE,FT,Research Scientist,120500,CAD,96357,L
SE,FT,Data Science Manager,174000,USD,174000,L
MI,FT,Business Data Analyst,135000,USD,135000,L
EN,FT,Machine Learning Engineer,21844,USD,21844,M
SE,FT,Lead Data Engineer,125000,USD,125000,S
EN,FT,Data Scientist,45000,EUR,51321,S
MI,FT,Data Scientist,3000000,INR,40481,L
EX,FT,Data Science Consultant,59000,EUR,70329,S
SE,FT,Data Analytics Engineer,50000,USD,50000,M
MI,FT,Data Engineer,4000,USD,4000,M
EN,FT,Data Scientist,35000,EUR,39916,M
MI,FT,Lead Data Analyst,87000,USD,87000,L
MI,FT,Data Engineer,22000,EUR,26224,L
MI,FT,Data Scientist,76760,EUR,91500,L
MI,FT,Big Data Engineer,1672000,INR,22671,L
MI,FT,Data Scientist,420000,INR,5695,S
EN,FT,Machine Learning Engineer,81000,USD,81000,S
MI,FT,Data Scientist,30400000,CLP,40798,L
MI,FT,Data Scientist,58000,MXN,2876,S
EN,FT,Data Science Consultant,90000,USD,90000,S
MI,FT,Data Scientist,52000,EUR,61985,M
SE,FT,Machine Learning Infrastructure Engineer,195000,USD,195000,M
MI,FT,Data Scientist,32000,EUR,38144,L
MI,FT,Data Analyst,85000,USD,85000,L
EX,CT,Principal Data Scientist,416000,USD,416000,S
SE,FT,Machine Learning Scientist,225000,USD,225000,L
MI,FT,Data Scientist,40900,GBP,56578,L
MI,FT,Data Scientist,2500000,INR,33899,M
MI,FT,Data Scientist,85000,GBP,117583,L
MI,FT,Machine Learning Engineer,180000,PLN,47129,L
MI,FT,Data Analyst,8000,USD,8000,L
EN,FT,Data Engineer,4450000,JPY,41689,S
SE,FT,Big Data Engineer,100000,EUR,114047,S
MI,FT,Machine Learning Engineer,75000,EUR,89402,M
EN,FT,Data Science Consultant,423000,INR,5707,M
MI,FT,Lead Data Engineer,56000,USD,56000,M
EN,PT,Computer Vision Engineer,180000,DKK,28850,S
MI,FT,Data Scientist,75000,EUR,89402,L
MI,FT,Machine Learning Engineer,299000,CNY,43331,M
MI,FT,Product Data Analyst,450000,INR,6072,L
SE,FT,Data Engineer,42000,EUR,47899,L
